"","model","formula","lam(dis.s)","SElam(dis.s)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(PASLvshilin)","SElam(PASLvshilin)","lam(PASMangao)","SElam(PASMangao)","lam(PASMengla)","SElam(PASMengla)","lam(PASMengsong)","SElam(PASMengsong)","lam(PASNabanhe)","SElam(PASNabanhe)","lam(pop.s)","SElam(pop.s)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"11","m012","~camhours + cam_angle ~ pop.s + dis.s + PAS",1.02742925267764,0.531036717975212,NA,NA,0.439767033917947,1.11697888876421,-1.78745640880695,2.44784531118296,0.382027616373861,0.981163989564395,-1.49217649002461,1.23784092103817,1.31317336448461,0.69472445214955,-0.00976076263372233,1.82507966023385,0.934273079802727,0.876049686926045,13.7658035726993,311.437830209619,5.96763953867383,59.5647987957949,-19.8371729157302,311.449548464062,0,19464760.4073959,243.152517684267,11,115,508.305035368535,0,0.292721331767761,NA,0.292721331767761
"12","m013","~camhours + cam_angle ~ PAS",NA,NA,NA,NA,-0.865709360023464,0.664783597235981,0.379761088895481,1.11940366530924,1.17888730822338,0.75043327403661,0.304292301622536,0.669274697165712,1.26547174558793,0.679400849199523,2.04239031359958,0.601483257452607,NA,NA,14.4012740904108,433.188294350975,10.3141050626386,155.852565347242,-20.4171055181645,433.262456224103,0,33326100.986348,245.556369621764,9,115,509.112739243528,0.807703874993479,0.195462614866399,NA,0.48818394663416
"9","m010","~camhours + cam_angle ~ ele.s + pop.s + dis.s",0.263558802920297,0.216545636538158,0.552489251157981,0.313475624385628,-0.279148059061085,0.430609351516292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0276992908187,0.334870913086817,7.9043446154221,18.6707665057623,3.06208689030359,21.5274340336329,-13.392031261979,18.6983657561001,0,59993.6659920783,247.604859570903,7,115,509.209719141807,0.904683773272154,0.186210766181444,NA,0.674394712815604
"14","m016","~camhours + cam_angle ~ pop.s",NA,NA,NA,NA,-0.374188389731617,0.373238889527311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.451052248510783,0.179544997752041,9.41616624524288,42.1766874735947,3.1533588245553,23.6250005364537,-14.7303021850859,42.1902136351861,0,271668.703635364,250.145430062142,5,115,510.290860124285,1.98582475575012,0.108452109935109,NA,0.782846822750713
"10","m011","~camhours + cam_angle ~ pop.s + dis.s",0.321936020332998,0.223895275833671,NA,NA,-0.296359821294571,0.395809053848905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.589606588929728,0.206340395282909,13.7684642387563,360.988572920989,12.0332523666034,160.553166913067,-19.541007308505,361.063490536017,0,20903175.6898484,249.158213354052,6,115,510.316426708104,2.01139133956997,0.107074558535441,NA,0.889921381286153
"13","m014","~camhours + cam_angle ~ pop.s + PAS",NA,NA,NA,NA,-0.996134643849339,0.756477333733549,1.0861497004477,2.08865448818399,1.35364823605695,0.863351473413113,0.237837171935219,0.68991723385413,1.36535630627594,0.720574601613157,2.56174060956447,1.41145826796076,-0.269916795068875,0.675886404135818,12.5125790796153,165.295023619465,3.75065214690964,33.4438237792015,-18.2825619457159,165.303015931148,0,5157406.51522108,245.483750780422,10,115,510.967501560845,2.66246619231032,0.0773227309779127,NA,0.967244112264066
"15","m017","~camhours + cam_angle ~ 1",NA,NA,NA,NA,-0.529681352690617,0.322312158796671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.95121639447266,21.1784513204488,2.44022357494399,18.0576186408127,-13.0582272796599,21.1939984462899,0,60049.531723791,252.839178306232,4,115,513.678356612464,5.37332124392958,0.0199366639947086,NA,0.987180776258775
"3","m003","~camhours ~ ele.s + pop.s",NA,NA,0.518119785801202,0.303862215744679,-0.600541936552792,0.368428967835842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.808833796308471,0.315525854420731,NA,NA,5.90779569681235,62.5697357840809,-5.4308021743933,2.71361952185774,0,227082.009472179,253.349474254067,5,115,516.698948508134,8.3939131395997,0.00440290478068329,NA,0.991583681039458
"7","m008","~camhours ~ pop.s",NA,NA,NA,NA,-0.614830834631389,0.345007533438909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.397209023346399,0.185956170117875,NA,NA,2.79023529575345,19.3034926779166,-5.21637807051069,0.899276789833184,0,18937.2470036544,254.840646211617,4,115,517.681292423234,9.37625705469952,0.00269417636846379,NA,0.994277857407922
"8","m009","~camhours ~ pop.s + dis.s",0.258395546054231,0.225820059757655,NA,NA,-0.566021826636742,0.357572458031995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506242606040247,0.211374198323103,NA,NA,2.74058452000757,17.9307470110521,-5.2649015058847,0.850131319693669,0,17546.3060008793,254.215255960152,5,115,518.430511920303,10.1254765517685,0.00185240129449851,NA,0.99613025870242
